link,image,title
//www.jd.id/product/logitech-m590-multi-device-silent-graphite-tonal_10122959/100278655.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAAqgAAAA4ABPlCaQACwKc.jpg,LOGITECH M590 Multi-Device Silent - Graphite Tonal
//www.jd.id/product/logitech-m590-multi-device-silent-mid-grey-tonal_10122961/100278657.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAAAwAAAAYANTAb_gABs4g.jpg,LOGITECH M590 Multi-Device Silent - Mid Grey Tonal
//www.jd.id/product/logitech-mk345-wireless-combo-keyboard-mouse_724442/10070380.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAAAgAAAAEABePLFQABTLs.jpg,LOGITECH MK345 Wireless Combo Keyboard Mouse
//www.jd.id/product/logitech-speaker-z313-black_671676/10004563.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAAAwAAAAkAAGY_XgAAkWo.jpg,LOGITECH Speaker Z313 - Black
//www.jd.id/product/logitech-m221-silent-wireless-mouse-blue_738863/10088704.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAABQAAAAwACJIGIwAAxDA.jpg,LOGITECH M221 Silent Wireless Mouse - Blue
//www.jd.id/product/logitech-k380-multi-device-bluetooth-keyboard-black_724448/10070386.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAAEwAAAAwAFjDopwAFEQY.jpg,LOGITECH K380 Multi-Device Bluetooth Keyboard - Black
//www.jd.id/product/logitech-mx-master-2s-wireless-mouse_10297245/100652577.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAADwAAABMAH4mj9gACtHw.jpg,LOGITECH MX Master 2S Wireless Mouse
//www.jd.id/product/logitech-wireless-mouse-m325-dark-silver_668673/10001048.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAAAwAAAAMAATkw7QABCvk.jpg,Logitech Wireless Mouse M325 - Dark Silver
//www.jd.id/product/logitech-m720-marathon-multi-device-wireless-mouse_738865/10088706.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAABwAAAA8ACBAuswAAxWY.jpg,LOGITECH M720 Marathon Multi-Device Wireless Mouse
//www.jd.id/product/logitech-mouse-bluetooth-m337-blue_670834/10003678.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAAAgAAABoAAPE2DQAAUnA.jpg,Logitech Mouse Bluetooth M337 -  blue
//www.jd.id/product/logitech-m238-marvel-collection-mouse-wireless-iron-man_11141743/102551679.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAAUgAAABwAClrWzgADrzk.jpg,Logitech M238 Marvel Collection Mouse Wireless - Iron Man
//www.jd.id/product/logitech-m221-silent-wireless-mouse-charcoal_738860/10088701.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAACQAAABEAB8pqZAAAuKs.jpg,LOGITECH M221 Silent Wireless Mouse - Charcoal
//www.jd.id/product/logitech-m238-marvel-collection-mouse-wireless-black-panther_11141812/102551820.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAAzgAAABwAI2Ng1wADHUI.jpg,Logitech M238 Marvel Collection Mouse Wireless - Black Panth...
//www.jd.id/product/logitech-g304-lightspeed-wireless-gaming-mouse_10383863/100815208.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAASwAAAAIAAS2SyQAASWs.jpg,LOGITECH G304 Lightspeed Wireless Gaming Mouse
//www.jd.id/product/logitech-mouse-g90-gaming_670841/10003685.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAADAAAABgAAAocbQAC0v4.png,Logitech mouse G90 Gaming
//www.jd.id/product/logitech-m590-multi-device-silent-ruby_10122966/100278662.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAACgAAAAUANWhOewACGFI.jpg,LOGITECH M590 Multi-Device Silent - Ruby
//www.jd.id/product/logitech-k380-multi-device-bluetooth-keyboard-blue_724450/10070388.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAAGwAAABsAFBdThAAFaAA.jpg,LOGITECH K380 Multi-Device Bluetooth Keyboard - Blue
//www.jd.id/product/logitech-m585-multi-device-mouse-black_10103738/100237814.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAAGwAAAB4AEYyhTgAEHlg.jpg,LOGITECH M585 Multi Device Mouse - Black
//www.jd.id/product/logitech-k400-plus-wireless-touch-keyboard-black_712830/10054596.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAABgAAABEAC1rUVQAA3F4.jpg,LOGITECH K400 Plus Wireless Touch Keyboard - Black
//www.jd.id/product/logitech-wireless-combo-mk220_668929/10001319.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAABwAAAAIAARy2XAAA2js.jpg,Logitech Wireless Combo  MK220
//www.jd.id/product/logitech-g502-proteus-spectrum-gaming-mouse_675370/10010397.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAAAwAAAAsABXcOeAAAhfA.jpg,Logitech G502 Proteus Spectrum Gaming Mouse
//www.jd.id/product/logitech-mk270r-wireless-combo-black_678323/10013507.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAAmwAAAAkANbdYTQAD9Nc.png,LOGITECH MK270r Wireless Combo - Black
//www.jd.id/product/logitech-m238-marvel-collection-mouse-wireless-captain-marvel_11529354/103646839.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAA4gAAAB4AF3Q7nQABI7E.jpg,Logitech M238 Marvel Collection Mouse Wireless - Captain Mar...
//www.jd.id/product/logitech-k480-bluetooth-multi-device-keyboard-black_712840/10054609.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAAAgAAABoADMvibgABFW4.jpg,LOGITECH K480 Bluetooth Multi-Device Keyboard - Black
//www.jd.id/product/logitech-mk235-wireless-combo-keyboard-mouse_724444/10070382.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAAAwAAAAwABgrDswABGgk.jpg,LOGITECH MK235 Wireless Combo Keyboard Mouse
//www.jd.id/product/logitech-wireless-keyboard-k270_669095/10001486.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAABQAAAAUAADb3zgAAnxw.jpg,Logitech Wireless Keyboard K270
//www.jd.id/product/logitech-prodigy-series-g403-wired-gaming-mouse_734568/10083059.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAAAgAAABIABrI0NwABAvI.jpg,LOGITECH Prodigy Series G403 Wired Gaming Mouse
//www.jd.id/product/logitech-mouse-bluetooth-m337-red_670900/10003753.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAABgAAABgAAJE-tAAAYbI.jpg,Logitech Mouse Bluetooth M337 red
//www.jd.id/product/logitech-g603-wireless-gaming-mouse_10161538/100366251.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAAHwAAAAkAAmLr9wAA6n0.jpg,LOGITECH G603 Wireless Gaming Mouse
//www.jd.id/product/logitech-m238-marvel-collection-mouse-wireless-captain-america_11141819/102551847.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAAMAAAABwAFLh4HAAD758.jpg,Logitech M238 Marvel Collection Mouse Wireless - Captain Ame...
//www.jd.id/product/logitech-m238-marvel-collection-mouse-wireless-spiderman_11141782/102551765.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAAHQAAAAkAJpU4TAADhsg.jpg,Logitech M238 Marvel Collection Mouse Wireless - Spiderman
//www.jd.id/product/logitech-k400-plus-wireless-touch-keyboard-white_712839/10054608.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAACQAAABAACpHBiQAA1WY.jpg,LOGITECH K400 Plus Wireless Touch Keyboard - White
//www.jd.id/product/logitech-g413-mechanical-backlit-keyboard_10058018/100139016.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAABQAAAAMAG7W1XwACTX8.jpg,LOGITECH G413 Mechanical Backlit Keyboard
